scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
3-hour-battery,0.0,20.0,0.0,306.1260860969837,180.07704347996196
3-hour-battery,0.0,20.0,0.01,306.1260860969837,165.6317418945861
3-hour-battery,0.0,20.0,0.02,306.1260860969837,152.6674638355716
3-hour-battery,0.0,20.0,0.03,306.1260860969837,141.00413662880894
3-hour-battery,0.0,20.0,0.04,306.1260860969837,130.48617429473174
3-hour-battery,0.0,25.0,0.0,331.9172914708711,157.54687071347368
3-hour-battery,0.0,25.0,0.01,331.9172914708711,145.01701299941047
3-hour-battery,0.0,25.0,0.02,331.9172914708711,133.77179541188323
3-hour-battery,0.0,25.0,0.03,331.9172914708711,123.65502287448967
3-hour-battery,0.0,25.0,0.04,331.9172914708711,114.53174007496109
3-hour-battery,0.0,30.0,0.0,354.68096180384816,141.20760353161873
3-hour-battery,0.0,30.0,0.01,354.68096180384816,130.0499494526072
3-hour-battery,0.0,30.0,0.02,354.68096180384816,120.03624851935392
3-hour-battery,0.0,30.0,0.03,354.68096180384816,111.02741131272005
3-hour-battery,0.0,30.0,0.04,354.68096180384816,102.90326211125831
3-hour-battery,3.0,2.5,0.0,168.47658320055575,720.899686587151
3-hour-battery,3.0,2.5,0.01,168.47658320055575,657.2998781439155
3-hour-battery,3.0,2.5,0.02,168.47658320055575,600.2207236323269
3-hour-battery,3.0,2.5,0.03,168.47658320055575,548.8693986512098
3-hour-battery,3.0,2.5,0.04,168.47658320055575,502.56088887681426
3-hour-battery,3.0,5.0,0.0,291.33054389199344,681.6280551648637
3-hour-battery,3.0,5.0,0.01,291.33054389199344,626.6395029482691
3-hour-battery,3.0,5.0,0.02,291.33054389199344,577.2887243033787
3-hour-battery,3.0,5.0,0.03,291.33054389199344,532.890241285372
3-hour-battery,3.0,5.0,0.04,291.33054389199344,492.8517888099245
3-hour-battery,3.0,7.5,0.0,368.5474387622187,588.9979175556324
3-hour-battery,3.0,7.5,0.01,368.5474387622187,542.6224390128774
3-hour-battery,3.0,7.5,0.02,368.5474387622187,501.0016673457212
3-hour-battery,3.0,7.5,0.03,368.5474387622187,463.5574937216869
3-hour-battery,3.0,7.5,0.04,368.5474387622187,429.79042187105046
3-hour-battery,3.0,10.0,0.0,419.17134380454416,507.92170278076946
3-hour-battery,3.0,10.0,0.01,419.17134380454416,468.3624704761717
3-hour-battery,3.0,10.0,0.02,419.17134380454416,432.8591004449666
3-hour-battery,3.0,10.0,0.03,419.17134380454416,400.91845402163665
3-hour-battery,3.0,10.0,0.04,419.17134380454416,372.114450665556
3-hour-battery,3.0,12.5,0.0,452.44385714210364,441.1312143009394
3-hour-battery,3.0,12.5,0.01,452.44385714210364,406.9717577178222
3-hour-battery,3.0,12.5,0.02,452.44385714210364,376.31454430687495
3-hour-battery,3.0,12.5,0.03,452.44385714210364,348.73374808885484
3-hour-battery,3.0,12.5,0.04,452.44385714210364,323.86144787620276
3-hour-battery,3.0,15.0,0.0,475.1969490426951,387.43721602799343
