scenario,pv_kwp,battery_kwh,discount_rate,annual_savings,breakeven_eur_per_kwh
1-hour-battery,6.0,25.0,0.0,810.0838064971822,407.5618729299706
1-hour-battery,6.0,25.0,0.01,810.0838064971822,376.9812581421832
1-hour-battery,6.0,25.0,0.02,810.0838064971822,349.53596106885334
1-hour-battery,6.0,25.0,0.03,810.0838064971822,324.84476896421677
1-hour-battery,6.0,25.0,0.04,810.0838064971822,302.5783072645526
1-hour-battery,6.0,30.0,0.0,840.5356519817906,352.9033162602166
1-hour-battery,6.0,30.0,0.01,840.5356519817906,326.4615078299241
1-hour-battery,6.0,30.0,0.02,840.5356519817906,302.73068055383953
1-hour-battery,6.0,30.0,0.03,840.5356519817906,281.38121534272517
1-hour-battery,6.0,30.0,0.04,840.5356519817906,262.1283154658367
1-hour-battery,9.0,2.5,0.0,190.76203230590625,837.4217857383903
1-hour-battery,9.0,2.5,0.01,190.76203230590625,765.4092337123593
1-hour-battery,9.0,2.5,0.02,190.76203230590625,700.7798632082598
1-hour-battery,9.0,2.5,0.03,190.76203230590625,642.6359779934354
1-hour-battery,9.0,2.5,0.04,190.76203230590625,590.2019526244278
1-hour-battery,9.0,5.0,0.0,337.1731186792174,801.4747098015552
1-hour-battery,9.0,5.0,0.01,337.1731186792174,737.8333854322233
1-hour-battery,9.0,5.0,0.02,337.1731186792174,680.7169714694143
1-hour-battery,9.0,5.0,0.03,337.1731186792174,629.3321259814742
1-hour-battery,9.0,5.0,0.04,337.1731186792174,582.9933874891551
1-hour-battery,9.0,7.5,0.0,453.9104296997759,737.7747397001511
1-hour-battery,9.0,7.5,0.01,453.9104296997759,680.6577686432555
1-hour-battery,9.0,7.5,0.02,453.9104296997759,629.3967900964367
1-hour-battery,9.0,7.5,0.03,453.9104296997759,583.2797936074062
1-hour-battery,9.0,7.5,0.04,453.9104296997759,541.6915895354888
1-hour-battery,9.0,10.0,0.0,552.1496414072951,681.744881135638
1-hour-battery,9.0,10.0,0.01,552.1496414072951,629.6358420656474
1-hour-battery,9.0,10.0,0.02,552.1496414072951,582.8693506982861
1-hour-battery,9.0,10.0,0.03,552.1496414072951,540.7958246101517
1-hour-battery,9.0,10.0,0.04,552.1496414072951,502.854013083144
1-hour-battery,9.0,12.5,0.0,641.3691002713641,638.6947976778105
1-hour-battery,9.0,12.5,0.01,641.3691002713641,590.2715080505378
1-hour-battery,9.0,12.5,0.02,641.3691002713641,546.8128798211555
1-hour-battery,9.0,12.5,0.03,641.3691002713641,507.7152764922997
1-hour-battery,9.0,12.5,0.04,641.3691002713641,472.45714543968245
1-hour-battery,9.0,15.0,0.0,719.7338919654127,600.535590776779
1-hour-battery,9.0,15.0,0.01,719.7338919654127,555.2524058285442
1-hour-battery,9.0,15.0,0.02,719.7338919654127,514.6119389198417
1-hour-battery,9.0,15.0,0.03,719.7338919654127,478.0496975644723
1-hour-battery,9.0,15.0,0.04,719.7338919654127,445.0779502570457
1-hour-battery,9.0,20.0,0.0,848.4335774804226,534.5168787661927
1-hour-battery,9.0,20.0,0.01,848.4335774804226,494.4814833573176
1-hour-battery,9.0,20.0,0.02,848.4335774804226,458.55076946978596
1-hour-battery,9.0,20.0,0.03,848.4335774804226,426.22566266976173
1-hour-battery,9.0,20.0,0.04,848.4335774804226,397.07495380766807
1-hour-battery,9.0,25.0,0.0,942.9990850633743,477.05819402536196
1-hour-battery,9.0,25.0,0.01,942.9990850633743,441.46003549624305
1-hour-battery,9.0,25.0,0.02,942.9990850633743,409.5116249467813
1-hour-battery,9.0,25.0,0.03,942.9990850633743,380.76920178383
1-hour-battery,9.0,25.0,0.04,942.9990850633743,354.8493489957902
1-hour-battery,9.0,30.0,0.0,1018.2967500362853,430.3570552254247
1-hour-battery,9.0,30.0,0.01,1018.2967500362853,398.3231878621969
1-hour-battery,9.0,30.0,0.02,1018.2967500362853,369.57363484331694
1-hour-battery,9.0,30.0,0.03,1018.2967500362853,343.7090674234433
1-hour-battery,9.0,30.0,0.04,1018.2967500362853,320.38445849438114
1-hour-battery,12.0,2.5,0.0,191.70192510261165,842.3361260835867
1-hour-battery,12.0,2.5,0.01,191.70192510261165,769.9687650942441
1-hour-battery,12.0,2.5,0.02,191.70192510261165,705.0209628820204
1-hour-battery,12.0,2.5,0.03,191.70192510261165,646.5906002260339
1-hour-battery,12.0,2.5,0.04,191.70192510261165,593.8982301426674
1-hour-battery,12.0,5.0,0.0,340.31516438885956,809.6889880955644
1-hour-battery,12.0,5.0,0.01,340.31516438885956,745.4546035470169
1-hour-battery,12.0,5.0,0.02,340.31516438885956,687.805933679155
1-hour-battery,12.0,5.0,0.03,340.31516438885956,635.9422435729417
1-hour-battery,12.0,5.0,0.04,340.31516438885956,589.1716840770965
