name,scenario,pv_kwp,battery_kwh,battery_kw,orientation,ev_kwh_per_day,ev_charge_kw,connection_kw,battery_efficiency,ev_efficiency,annual_bill,imported_kwh,exported_kwh,solar_available_kwh,solar_curtailed_kwh,base_load_kwh,ev_charge_kwh,battery_charge_kwh,battery_discharge_kwh,peak_import_kw,peak_export_kw,solar_curtailed_share,solar_to_load_share,solar_to_export_share,solar_to_battery_share,solar_to_ev_share,ev_from_solar_share,ev_from_grid_share,ev_from_battery_share,load_from_solar_share,load_from_grid_share,load_from_battery_share,battery_from_solar_share,battery_from_grid_share,self_consumption,self_sufficiency,capex,annual_savings,npv,irr,payback_years,lifetime_years,cycles_per_year
efficient|pv=00.0|bat=02.5,efficient,0.0,2.5,1.25,south,10.0,12.0,17.25,0.975,0.95,1213.0239438908266,6297.717056992938,6.731045987988863,0.0,0.0,3500.0,2749.473684210525,862.9711755832693,821.4588487888452,14.319897129267877,0.9171151468928354,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.7672206277711825,0.23277937222881756,0.0,1.0,NaN,0.2327793722288161,1400.0,107.21865671721957,1.513481936855115,0.00014176472409866558,14.981269825629255,15.0,328.58353951553806
efficient|pv=03.0|bat=07.5,efficient,3.0,7.5,3.75,south,10.0,12.0,17.25,0.975,0.95,516.5939355709545,3591.091311021325,786.2427548417912,3591.9103823688893,43.051846134726006,3500.0,2749.473684210526,2177.7019382920757,2073.468530088904,16.1447749986061,3.8871747775863743,0.011985779585718122,0.26123006912170044,0.16941647749609534,0.4979740542646384,0.05939361953184813,0.07759178051713898,0.8557492558885892,0.06665896359427166,0.2680899992757651,0.24263071115551987,0.48927928956871497,0.8213604186192275,0.17863958138077254,0.8292433146492754,0.7617492372726835,3400.0,394.38743827176495,1755.2530946383933,0.060501305357369084,9.369838883323244,15.0,276.46247067852056
efficient|pv=06.0|bat=10.0,efficient,6.0,10.0,5.0,south,10.0,12.0,17.25,0.975,0.95,71.97208755060075,2493.390820953654,3176.812375216856,7183.8207647377785,106.48804396606508,3500.0,2749.473684210526,3014.1768566680385,2869.739374370053,17.25,7.008152726622512,0.014823315816670722,0.14847167114032225,0.3704336713268124,0.3917820337433972,0.07448930797279836,0.19462555340644686,0.6344242402325216,0.1709502063610314,0.3047411068894766,0.15696374868515958,0.5382951444253637,0.9337514164209461,0.06624858357905394,0.6254768018726317,0.8454798212953473,4400.0,544.2144675935622,2713.7238308169353,0.07106696990884466,8.732517683594654,15.0,286.9739374370053
efficient|pv=09.0|bat=15.0,efficient,9.0,15.0,7.5,south,10.0,12.0,17.25,0.975,0.95,-405.9795551463876,1660.0052925674545,5814.130188715096,10775.731147106668,159.07612721435805,3500.0,2749.473684210526,4448.358269045892,4235.301829511751,17.250000000000007,10.791150908503367,0.014762443962521347,0.10361175757271422,0.42111653177293495,0.3961254322915812,0.06438383440024777,0.2523329805631942,0.39492514573397147,0.3527418737028343,0.31899784093793243,0.11267196771385168,0.5683301913482158,0.9595767473605538,0.040423252639446364,0.5746974305749133,0.8882864026023045,6400.0,742.3056331855358,3303.0813897533117,0.06048590424344405,9.370824000923783,15.0,282.35345530078337
efficient|pv=12.0|bat=15.0,efficient,12.0,15.0,7.5,south,10.0,12.0,17.25,0.975,0.95,-701.5656023447111,1421.2544485813523,9055.822042733722,14367.641529475557,260.52138103815486,3500.0,2749.473684210526,4651.344204040596,4428.265333966091,17.250000000000007,11.99964724380634,0.0181325084220461,0.07994270024634771,0.5303124529357273,0.31366144323524675,0.05795089516063375,0.302828025873352,0.35403270722786107,0.343139266898787,0.32816801715366845,0.08659480305425683,0.5852371797920747,0.9688758733673422,0.031124126632657793,0.4620380517627714,0.9141395846608882,6400.0,760.8557384947387,3545.5599236036705,0.06450372078663116,9.11870440906741,15.0,295.21768893107276
high-mileage|pv=00.0|bat=02.5,high-mileage,0.0,2.5,1.25,south,20.0,12.0,17.25,0.95,0.92,1846.3822383606291,9244.691100087399,5.87797657342651,0.0,0.0,3500.0,5665.21739130435,765.7895611243459,692.1938289147223,14.429213558739997,0.9171151468928354,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8039097564739139,0.19609024352608606,0.0,1.0,NaN,0.1960902435260845,1400.0,93.24899988494599,-181.0915141329972,-0.01762634492119565,Inf,15.0,276.87753156588894
high-mileage|pv=03.0|bat=07.5,high-mileage,3.0,7.5,3.75,south,20.0,12.0,17.25,0.95,0.92,1157.2271575512013,6552.3007760052815,732.4352261360928,3591.9103823688893,40.96506351727422,3500.0,5665.21739130435,2141.535665809792,1935.9421883933376,16.1447749986061,3.806125615661524,0.011404812246528678,0.2593772671755258,0.16064309776655578,0.4853304575889914,0.0832443652223982,0.05277931614327623,0.9152262715194319,0.031994412337291826,0.266188542548069,0.2768779512282043,0.45693350622372675,0.814024971577838,0.18597502842216207,0.8381246167824316,0.7294863827723481,3400.0,372.3260505775247,1466.8766755487502,0.05134149305443764,9.982514455814423,15.0,258.1256251191117
high-mileage|pv=06.0|bat=10.0,high-mileage,6.0,10.0,5.0,south,20.0,12.0,17.25,0.95,0.92,711.5100084477684,5308.129496455863,2939.082165950901,7183.8207647377785,102.9464166036022,3500.0,5665.21739130435,2963.890126510645,2679.185839175857,17.249999999999993,5.936801605213233,0.014330315298082178,0.1478163121845361,0.3532255792406456,0.3798708515911169,0.10475694168561993,0.13283781379452314,0.7824258680355247,0.08473631816995209,0.30339596938235225,0.18301452757795889,0.5135895030396889,0.9207237768937214,0.0792762231062785,0.6427201085139432,0.8213975768607867,4400.0,500.4956136631573,2142.2508700999224,0.05735559646372958,9.574123212671907,15.0,267.9185839175857
high-mileage|pv=09.0|bat=15.0,high-mileage,9.0,15.0,7.5,south,20.0,12.0,17.25,0.95,0.92,218.53082265831551,4147.798762551997,5190.06171236402,10775.731147106668,149.09068714378796,3500.0,5665.21739130435,4364.847372784679,3945.687253938173,17.25,9.116242198840437,0.013835783865470649,0.10316352894777522,0.3936406998745554,0.38796897295809013,0.10139101435410694,0.19285443716410341,0.6126755546404197,0.1944700081954769,0.3176178434651377,0.14076015097338462,0.5416220055614777,0.9577996637596765,0.04220033624032356,0.6023954873088243,0.862296480876038,6400.0,705.2028913942294,2818.0912357124566,0.052313166186707394,9.914893595706706,15.0,263.0458169292115
high-mileage|pv=12.0|bat=20.0,high-mileage,12.0,20.0,10.0,south,20.0,12.0,17.25,0.95,0.92,-259.90571705225057,3215.8452569374895,7658.253039243484,14367.641529475557,198.55557477002282,3500.0,5665.217391304349,5846.26442148913,5284.803640393939,17.25,12.325103456740232,0.013819635906330301,0.07918966911714127,0.4228659447928906,0.3942252977092426,0.0898994524743951,0.22799532968157607,0.4657957810478164,0.3062088892706075,0.32507679391796235,0.11280978148492947,0.5621134245971081,0.9688387919160268,0.03116120808397321,0.573051701107298,0.8893830388844784,8400.0,900.9250448781007,3376.4821465855794,0.04810105494629021,10.217104850518139,15.0,264.24018201969693
lossy|pv=00.0|bat=02.5,lossy,0.0,2.5,1.25,south,10.0,12.0,17.25,0.9,0.85,1317.2643859929076,6693.234368714286,5.197316453871658,0.0,0.0,3500.0,3072.941176470591,611.0967146832803,496.000838893457,13.915417949309814,0.902887137576402,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8599960631781433,0.14000393682185672,0.0,0.9987076619066808,NaN,0.14002210623893485,1400.0,70.42535881328149,-479.4317624462207,-0.0504084877328342,Inf,15.0,198.4003355573828
lossy|pv=03.0|bat=05.0,lossy,3.0,5.0,2.5,south,10.0,12.0,17.25,0.9,0.85,715.4211622977957,4305.8665019514065,977.2344551371315,3591.9103823688893,48.63077069441168,3500.0,3072.9411764705906,1584.1867474640135,1285.2162654458507,14.894774998606085,2.2570249720406137,0.013538971053709686,0.2636568965173209,0.26292020195105387,0.39280640741538636,0.06707752306252854,0.07840581308771105,0.9193751841496324,0.002219002762656553,0.27058055542392195,0.3740290982710843,0.3553903463049937,0.890630738651855,0.10830717923795494,0.7336356384139159,0.6301148971889248,2400.0,262.0258410026927,1025.0825371713327,0.0508688230509369,10.015962222665594,15.0,257.04325308917015
lossy|pv=06.0|bat=07.5,lossy,6.0,7.5,3.75,south,10.0,12.0,17.25,0.9,0.85,286.2524114635406,3211.2666232964107,3239.8766852438657,7183.8207647377785,117.29085764338959,3500.0,3072.94117647059,2463.242993033384,1998.264324357041,15.97669881379932,5.042028523210943,0.01632708575068004,0.14973556204380856,0.425322427332191,0.3265279298704913,0.08208699500282916,0.19190027577864174,0.7534081667889932,0.05469155743236507,0.30733526852285586,0.22318362693937494,0.46948110453776914,0.9522885600424751,0.046664072898440934,0.5682967030097518,0.7794541805629439,3400.0,393.63917291983023,1745.472110517611,0.06019445078400617,9.389494129490137,15.0,266.43524324760546
lossy|pv=09.0|bat=12.5,lossy,9.0,12.5,6.25,south,10.0,12.0,17.25,0.9,0.85,-175.72940693277735,2275.3541516997766,5565.143073837202,10775.731147106668,164.87818561464132,3500.0,3072.941176470589,3964.133488863214,3216.0106259792037,17.250000000000014,7.9235525154285575,0.0153008815238409,0.10417239144665454,0.45271819247921025,0.35705802509772144,0.07075050945257205,0.2480973193432173,0.5367656581648986,0.21513702249188416,0.32072390948008667,0.1467743978802347,0.5325016926396787,0.9705932691669446,0.028302393535409337,0.5416341884110726,0.8547420332766238,5400.0,574.2979726576351,2106.9617170405404,0.04679658400856619,10.31383337008155,15.0,257.2808500783363
lossy|pv=12.0|bat=12.5,lossy,12.0,12.5,6.25,south,10.0,12.0,17.25,0.9,0.85,-467.856724286605,1982.631695707267,8717.72754571401,14367.641529475557,277.4646418817769,3500.0,3072.941176470589,4143.170321665508,3361.030460549062,17.250000000000014,9.798746751928482,0.01931177370430294,0.08047416132162859,0.5556269797445562,0.2815535316739388,0.06303355355557275,0.2947155346642987,0.4830824938369668,0.22220197149873455,0.3303496863583845,0.11560435486046951,0.5540459587811459,0.9763683122790019,0.02257507162155668,0.43477435915836177,0.8853917592520616,5400.0,588.107784002596,2287.47728565108,0.05048390107664823,10.04360774018668,15.0,268.88243684392495
low-mileage|pv=00.0|bat=02.5,low-mileage,0.0,2.5,1.25,south,5.0,12.0,17.25,0.95,0.92,947.6501940214986,5005.560665304789,5.87797657342651,0.0,0.0,3500.0,1426.0869565217395,765.7895611243459,692.1938289147223,13.920410269270693,0.9171151468928354,NaN,NaN,NaN,NaN,NaN,0.0,1.0,0.0,0.0,0.8039097564739139,0.19609024352608606,0.0,1.0,NaN,0.1960902435260845,1400.0,93.24902724146762,-181.09115654099753,-0.017626308690562434,Inf,15.0,276.87753156588894
low-mileage|pv=03.0|bat=07.5,low-mileage,3.0,7.5,3.75,south,5.0,12.0,17.25,0.95,0.92,260.4534251908748,2338.15506443501,755.570844668033,3591.9103823688893,42.44337023545712,3500.0,1426.0869565217395,2145.3387218325124,1939.3744464538424,16.1447749986061,3.806125615661524,0.011816377837206904,0.26315396363096033,0.16218999601201825,0.5164486081846986,0.04639105433511606,0.11684596717844145,0.7789792837359025,0.10417474908565603,0.2700644154650205,0.2677032183899042,0.4622323661450753,0.864682625088704,0.13531737491129608,0.8365612177139887,0.7350417052622003,3400.0,380.5722305844879,1574.6669874971458,0.054793231155680314,9.745193260364212,15.0,258.583259527179
low-mileage|pv=06.0|bat=10.0,low-mileage,6.0,10.0,5.0,south,5.0,12.0,17.25,0.95,0.92,-166.2726835444682,1448.246062086997,3303.434162989237,7183.8207647377785,108.57614344140958,3500.0,1426.0869565217395,3058.918603819371,2764.9490399469823,17.250000000000014,5.936801605213233,0.01511398279511123,0.14954665384168347,0.3839283535017168,0.40247553286285226,0.04893547699863639,0.24650929888074685,0.4997852369172536,0.25370546420199946,0.3069475306185543,0.1622578117476777,0.5307946576337681,0.9452072659497935,0.05479273405020651,0.6117920554604761,0.8386197831514765,4400.0,519.4799267485329,2390.405170378439,0.06337132047544224,9.188783440285638,15.0,276.49490399469823
low-mileage|pv=09.0|bat=10.0,low-mileage,9.0,10.0,5.0,south,5.0,12.0,17.25,0.95,0.92,-464.6698773247411,1169.6567463176684,6487.701740450178,10775.731147106668,218.0310242973474,3500.0,1426.0869565217395,3259.929970821241,2946.36179866617,17.22669881379932,8.291150908503367,0.020233524882985753,0.10504149574328604,0.5384142746068166,0.2914215945388447,0.04488911022806682,0.3391889821573516,0.44523789595129754,0.21557312189135086,0.32339969069131436,0.11858844935508957,0.5580118599535961,0.9632969975795576,0.0367030024204424,0.45224173285564656,0.8818344857376921,4400.0,542.7720205288329,2694.868819291,0.07062235713672288,8.757773209717412,15.0,294.636179866617
