name,scenario,pv_kwp,battery_kwh,battery_kw,household_kwh,orientation,tilt,degradation,ev_weekdays_only,ev_kwh_per_day,ev_charge_kw,connection_kw,battery_efficiency,ev_efficiency,battery_hours,battery_soc_min,v2g_kw,ev_capacity_kwh,ev_departure,ev_return,tariff,net_metering,transport,annual_bill,imported_kwh,exported_kwh,solar_available_kwh,solar_curtailed_kwh,base_load_kwh,ev_charge_kwh,battery_charge_kwh,battery_discharge_kwh,peak_import_kw,peak_export_kw,solar_curtailed_share,solar_to_load_share,solar_to_export_share,solar_to_battery_share,solar_to_ev_share,ev_from_solar_share,ev_from_grid_share,ev_from_battery_share,load_from_solar_share,load_from_grid_share,load_from_battery_share,battery_from_solar_share,battery_from_grid_share,demand_kwh,demand_from_solar_share,demand_from_grid_share,demand_from_battery_share,self_consumption,self_sufficiency,capex,annual_savings,npv,irr,payback_years,lifetime_years,cycles_per_year
1-hour-battery|pv=06.0|bat=00.0,1-hour-battery,6.0,0.0,0.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,634.000800561844,4672.436183128888,5297.744495299596,7183.8207647377785,219.38201778446006,3500.0,2839.13043478261,0.0,0.0,13.069897129267877,4.833343879611602,0.03053834790273583,0.1524080467332728,0.7374549934909136,0.0,0.07959861187307637,0.2014074992161792,0.7985925007838207,0.0,0.3128205973816037,0.6871794026183963,0.0,NaN,NaN,6339.130434782604,0.26292158976704794,0.7370784102329521,0.0,0.23931494154971766,0.3152856896267605,0.0,0.0,NaN,NaN,NaN,NaN,NaN
1-hour-battery|pv=06.0|bat=02.5,1-hour-battery,6.0,2.5,2.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,445.67239721324074,3959.969826742969,4542.688703697147,7183.8207647377785,171.46459508346186,3500.0,2839.1304347826103,939.2370042823436,848.730146364815,14.894774998606088,4.590965073326103,0.023868161623005164,0.15227340401564537,0.6301078622991211,0.11637255603036252,0.07737801603186502,0.19578874978545574,0.8042112502145443,-1.0973653498568133e-18,0.31254424048140006,0.44956336298241945,0.23789239653618047,0.890083738869831,0.10991626113016889,6339.130434782604,0.26025251522457443,0.6084008598017457,0.13134662497367974,0.3545624294235563,0.5530227104342137,1400.0,188.32840334860327,1061.7431742391832,0.08549667661154209,7.967716699095402,15.0,339.492058545926
1-hour-battery|pv=06.0|bat=05.0,1-hour-battery,6.0,5.0,5.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,303.7416244406277,3356.163324160588,3892.505040894169,7183.8207647377785,142.77583549405563,3500.0,2839.1304347826103,1720.1054125900705,1554.5326348625385,17.22669881379932,5.552015186319853,0.01987463776864806,0.1514389650410119,0.5312530478086736,0.22112470897936637,0.07630864040230094,0.19308292029666196,0.7962122094391119,0.01070487026422616,0.310831537614863,0.2754365346197162,0.4137319277654207,0.9235017018931639,0.07649829810683606,6339.130434782607,0.2580950169641186,0.5086783149057693,0.23322666813011197,0.4581579039822753,0.7271718268213,2400.0,330.25917612121634,1916.9976386479582,0.08952147407108774,7.775575099819951,15.0,310.9065269725077
1-hour-battery|pv=06.0|bat=07.5,1-hour-battery,6.0,7.5,7.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,195.823629034799,2952.0321833247,3439.8044625562547,7183.8207647377785,123.67749631064515,3500.0,2839.13043478261,2425.0954298765964,2191.8548754636286,17.25,7.998447062223602,0.0172161166544861,0.15034181627865603,0.44202455013940994,0.3141466410977968,0.07627087582965102,0.19298736501049052,0.7348256411088896,0.07218699388061989,0.3085796175974296,0.1992697357166294,0.49215064668594105,0.9305914875299672,0.06940851247003284,6339.130434782601,0.25680887621246984,0.4391311940301727,0.30405992975735735,0.5507039038954893,0.80333350036185,3400.0,438.177171527045,2327.6525576307067,0.07804175494863325,8.34976780224742,15.0,292.2473167284838
1-hour-battery|pv=06.0|bat=10.0,1-hour-battery,6.0,10.0,10.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,109.13000558055671,2674.584551976611,3120.416637098412,7183.8207647377785,106.7522743345687,3500.0,2839.13043478261,3039.8048256286993,2747.698855129901,17.250000000000014,10.498447062223603,0.014860097130842787,0.14985213603759132,0.3633017564931275,0.3946827022089932,0.0773033081294451,0.19559971719501235,0.6490284724581578,0.15537181034683006,0.3075745390020459,0.1792665796466515,0.5131588813513026,0.9327341570442367,0.06726584295576339,6339.130434782601,0.25742395008572705,0.3896606235464552,0.3529154263678179,0.6319179230802145,0.8232248364607614,4400.0,524.8707949812873,2460.872146358908,0.0650618470531264,9.08444231095489,15.0,274.7698855129901
1-hour-battery|pv=06.0|bat=12.5,1-hour-battery,6.0,12.5,12.5,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,36.11285951748289,2474.045846038718,2879.5634578728823,7183.8207647377785,95.8137843117138,3500.0,2839.13043478261,3576.437782659392,3233.078848850101,17.25,12.998447062223603,0.013337440820074688,0.14970829366964622,0.29655110771138976,0.4634401934698867,0.0769629643290018,0.19473854898983914,0.5653699853016171,0.2398914657085438,0.3072792996335624,0.17763434750285095,0.5150863528635866,0.9308903124794372,0.06910968752056279,6339.130434782599,0.256875246018781,0.3512909808928335,0.39183377308838563,0.700317650653627,0.8244318057742356,5400.0,597.8879410443611,2415.3190472359574,0.05307117692223637,9.862588107916377,15.0,258.6463079080081
1-hour-battery|pv=06.0|bat=15.0,1-hour-battery,6.0,15.0,15.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,-28.06071791071105,2328.496145731291,2692.739956346416,7183.8207647377785,91.15551995324303,3500.0,2839.1304347826103,4058.4974296082037,3669.206430221404,17.25,15.498447062223603,0.012689002543143259,0.14965250172187997,0.23846988323445162,0.522427571644781,0.07676104085574495,0.1942276242284054,0.4948155491466219,0.31095682662497265,0.30716478553274257,0.176622533768729,0.5162126806985283,0.9247328851001918,0.07526711489980817,6339.130434782603,0.2565831899691402,0.31913284861218866,0.42428396141867103,0.7594156711358986,0.8249766793602473,6400.0,662.061518472555,2254.166843911326,0.04255835491360126,10.636927015443636,15.0,244.61376201476025
1-hour-battery|pv=06.0|bat=20.0,1-hour-battery,6.0,20.0,20.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,-120.22528639975354,2310.624064637674,2613.461625544038,7183.8207647377785,81.39895086173672,3500.0,2839.13043478261,4810.295571149416,4349.8417529623475,17.250000000000014,17.25,0.01133087162492812,0.1491976528195821,0.15094322608021649,0.6125466947302719,0.07598155474500157,0.19225529902644192,0.4534058765953344,0.3543388243782236,0.3062311989644155,0.1752787814034223,0.5184900196321622,0.9147931971929414,0.08520680280705867,6339.130434782601,0.25518437958204454,0.2998446203336821,0.44497100008427337,0.8487167065840712,0.8263820307069292,8400.0,754.2260869615975,1458.900136130803,0.021805662120850347,12.475433014607512,15.0,217.49208764811738
1-hour-battery|pv=06.0|bat=25.0,1-hour-battery,6.0,25.0,25.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,-176.08300593533818,2382.627774622565,2644.8287668479215,7183.8207647377785,75.27084489265229,3500.0,2839.13043478261,5311.856336791381,4804.637843954222,17.25000000000002,17.250000000000007,0.010477828909947728,0.14886331615259216,0.0951917986976525,0.6709830109551761,0.07448404528462954,0.18846616717641634,0.4523182186656672,0.3592156141579165,0.30554496619563354,0.17337220111340423,0.5210828326909622,0.9074457931966076,0.09255420680339241,6339.130434782604,0.25310843961158086,0.2983048139128746,0.4485867464755446,0.9054295523226215,0.8284292465085836,10400.0,810.0838064971822,189.04682324926625,0.002372665602361026,14.690347654902087,15.0,192.1855137581689
1-hour-battery|pv=06.0|bat=30.0,1-hour-battery,6.0,30.0,30.0,3500.0,south,35,0.02,true,10.0,12.0,17.25,0.95,0.92,1.0,0.05,0.0,60.0,7.5,17.5,dynamic,0.0,fixed,-206.5348514199465,2493.5265882496324,2739.908894194946,7183.8207647377785,64.12730662711897,3500.0,2839.13043478261,5610.315050079334,5076.134332696598,17.250000000000018,17.250000000000007,0.008926629537013474,0.14853327180542814,0.07429524649896584,0.6922292212189208,0.07601563093967258,0.19234152165005292,0.4398617222475083,0.36779675610243884,0.30486754350007894,0.17349639679778361,0.5216360597021374,0.8863763637089189,0.113623636291081,6339.130434782605,0.25447008652609604,0.2927944472221117,0.45273546625179234,0.9268766723457914,0.8285512492255046,12400.0,840.5356519817906,-1412.900512193502,-0.01545200553679939,Inf,15.0,169.20447775655327
