scenario,pv_kwp,battery_kwh,capex_per_kwh,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
base,3.0,30.0,100.0,573.1782427814883,121.00138921174722,3400.0,4092.3251177247503,0.1281892337700537,6.252817214807333,15.0
base,3.0,30.0,150.0,573.1782427814883,121.00138921174722,4900.0,2592.3251177247494,0.06186300250685059,9.283313803052945,15.0
base,3.0,30.0,200.0,573.1782427814883,121.00138921174722,6400.0,1092.3251177247507,0.021443608912750517,12.511837329115426,15.0
base,3.0,30.0,250.0,573.1782427814883,121.00138921174722,7900.0,-407.67488227524814,-0.006868428854433317,Inf,15.0
base,3.0,30.0,300.0,573.1782427814883,121.00138921174722,9400.0,-1907.6748822752495,-0.028335318041576782,Inf,15.0
base,3.0,30.0,350.0,573.1782427814883,121.00138921174722,10900.0,-3407.674882275249,-0.04546287579946684,Inf,15.0
base,3.0,30.0,400.0,573.1782427814883,121.00138921174722,12400.0,-4907.674882275248,-0.05962097458259612,Inf,15.0
base,6.0,2.5,100.0,186.95778280070886,337.0309836308869,650.0,1793.827046250749,0.26107974400462797,3.5698313785330598,15.0
base,6.0,2.5,150.0,186.95778280070886,337.0309836308869,775.0,1668.827046250749,0.2111724884922978,4.285925823953692,15.0
base,6.0,2.5,200.0,186.95778280070886,337.0309836308869,900.0,1543.827046250749,0.1738776910390924,5.011019613094727,15.0
base,6.0,2.5,250.0,186.95778280070886,337.0309836308869,1025.0,1418.827046250749,0.14464069383757297,5.750686344604055,15.0
base,6.0,2.5,300.0,186.95778280070886,337.0309836308869,1150.0,1293.8270462507492,0.12089753177946017,6.50036028174835,15.0
base,6.0,2.5,350.0,186.95778280070886,337.0309836308869,1275.0,1168.827046250749,0.10108992051997798,7.260328829261464,15.0
base,6.0,2.5,400.0,186.95778280070886,337.0309836308869,1400.0,1043.8270462507487,0.08421288660134446,8.031116434406623,15.0
base,6.0,7.5,100.0,434.27666800300983,290.8934310263857,1150.0,4526.666950809543,0.3546953501636016,2.6956283590224177,15.0
base,6.0,7.5,150.0,434.27666800300983,290.8934310263857,1525.0,4151.666950809543,0.2580508828462666,3.606875435763625,15.0
base,6.0,7.5,200.0,434.27666800300983,290.8934310263857,1900.0,3776.6669508095424,0.19722224563717417,4.535034876170644,15.0
base,6.0,7.5,250.0,434.27666800300983,290.8934310263857,2275.0,3401.6669508095424,0.15456381698050103,5.480833945783879,15.0
base,6.0,7.5,300.0,434.27666800300983,290.8934310263857,2650.0,3026.6669508095424,0.12248968153980164,6.445022550568264,15.0
base,6.0,7.5,350.0,434.27666800300983,290.8934310263857,3025.0,2651.6669508095433,0.09718498824222019,7.428373858111116,15.0
base,6.0,7.5,400.0,434.27666800300983,290.8934310263857,3400.0,2276.666950809543,0.07651043184171434,8.431684934745444,15.0
base,6.0,12.5,100.0,590.1196164293519,256.8707488663431,1650.0,6063.775043483774,0.3341506187750657,2.8496910667237576,15.0
base,6.0,12.5,150.0,590.1196164293519,256.8707488663431,2275.0,5438.775043483774,0.23090141960298743,3.9719064880172614,15.0
base,6.0,12.5,200.0,590.1196164293519,256.8707488663431,2900.0,4813.775043483774,0.16905473079575242,5.122021489547377,15.0
base,6.0,12.5,250.0,590.1196164293519,256.8707488663431,3525.0,4188.775043483774,0.12677412637951754,6.299696968424446,15.0
base,6.0,12.5,300.0,590.1196164293519,256.8707488663431,4150.0,3563.7750434837753,0.09543915766072751,7.505398342945165,15.0
base,6.0,12.5,350.0,590.1196164293519,256.8707488663431,4775.0,2938.775043483776,0.07093160799327161,8.740195526601495,15.0
base,6.0,12.5,400.0,590.1196164293519,256.8707488663431,5400.0,2313.7750434837753,0.05101772017283844,10.005296357378482,15.0
base,6.0,25.0,100.0,795.5667879801745,189.9869852777112,2900.0,7499.286964358534,0.2469373145574308,3.748837569997869,15.0
base,6.0,25.0,150.0,795.5667879801745,189.9869852777112,4150.0,6249.286964358534,0.15550570225956448,5.456286256604633,15.0
base,6.0,25.0,200.0,795.5667879801745,189.9869852777112,5400.0,4999.286964358534,0.10196764200481417,7.223343650206128,15.0
base,6.0,25.0,250.0,795.5667879801745,189.9869852777112,6650.0,3749.286964358534,0.06553690574085061,9.055422800708232,15.0
base,6.0,25.0,300.0,795.5667879801745,189.9869852777112,7900.0,2499.286964358534,0.038504280027600486,10.959116169064593,15.0
base,6.0,25.0,350.0,795.5667879801745,189.9869852777112,9150.0,1249.2869643585339,0.017293024396407987,12.939282198168252,15.0
base,6.0,25.0,400.0,795.5667879801745,189.9869852777112,10400.0,-0.7130356414648986,-8.993606337012967e-6,Inf,15.0
base,9.0,2.5,100.0,187.97049237373767,344.0644505387042,650.0,1807.0647248725747,0.26273018279038285,3.5499298324343163,15.0
base,9.0,2.5,150.0,187.97049237373767,344.0644505387042,775.0,1682.0647248725747,0.21260216739547103,4.26171279691048,15.0
base,9.0,2.5,200.0,187.97049237373767,344.0644505387042,900.0,1557.0647248725747,0.17515287800434626,4.982680866847168,15.0
base,9.0,2.5,250.0,187.97049237373767,344.0644505387042,1025.0,1432.0647248725747,0.14580202984992857,5.718009119167199,15.0
base,9.0,2.5,300.0,187.97049237373767,344.0644505387042,1150.0,1307.0647248725745,0.12197156682885174,6.4629498195757416,15.0
base,9.0,2.5,350.0,187.97049237373767,344.0644505387042,1275.0,1182.0647248725747,0.10209488275048667,7.218005546856783,15.0
base,9.0,2.5,400.0,187.97049237373767,344.0644505387042,1400.0,1057.0647248725745,0.08516180149659472,7.984021481901585,15.0
base,9.0,5.0,100.0,334.14989039566115,319.3494298593407,900.0,3467.8552848538807,0.34817379895249345,2.7428176286981247,15.0
base,9.0,5.0,150.0,334.14989039566115,319.3494298593407,1150.0,3217.8552848538807,0.26419062164858587,3.5324835813308266,15.0
base,9.0,5.0,200.0,334.14989039566115,319.3494298593407,1400.0,2967.8552848538798,0.20836972187552416,4.33407974876124,15.0
base,9.0,5.0,250.0,334.14989039566115,319.3494298593407,1650.0,2717.8552848538807,0.16794291354921137,5.148180681217413,15.0
base,9.0,5.0,300.0,334.14989039566115,319.3494298593407,1900.0,2467.8552848538807,0.13691659313060872,5.975871822882541,15.0
base,9.0,5.0,350.0,334.14989039566115,319.3494298593407,2150.0,2217.85528485388,0.11209727569145225,6.819962208722112,15.0
base,9.0,5.0,400.0,334.14989039566115,319.3494298593407,2400.0,1967.8552848538807,0.09162037107563258,7.678107149326111,15.0
base,9.0,10.0,100.0,545.8814141062176,292.1805552136904,1400.0,5735.513396949216,0.36727580921452496,2.6087667463971176,15.0
base,9.0,10.0,150.0,545.8814141062176,292.1805552136904,1900.0,5235.513396949215,0.26073915547949794,3.5739630536562785,15.0
base,9.0,10.0,200.0,545.8814141062176,292.1805552136904,2400.0,4735.513396949215,0.19598512851640854,4.558309911254883,15.0
base,9.0,10.0,250.0,545.8814141062176,292.1805552136904,2900.0,4235.513396949214,0.1514749753679029,5.562603469807674,15.0
base,9.0,10.0,300.0,545.8814141062176,292.1805552136904,3400.0,3735.513396949215,0.11842801664849723,6.587664399800249,15.0
base,9.0,10.0,350.0,545.8814141062176,292.1805552136904,3900.0,3235.513396949215,0.09257590032851391,7.634338560808843,15.0
base,9.0,10.0,400.0,545.8814141062176,292.1805552136904,4400.0,2735.5133969492153,0.07158015912468152,8.703497687822871,15.0
base,9.0,12.5,100.0,632.5599322515806,280.48770734531035,1650.0,6618.535535954661,0.360576040700589,2.654361193061642,15.0
base,9.0,12.5,150.0,632.5599322515806,280.48770734531035,2275.0,5993.535535954659,0.25090056838670993,3.697091730700432,15.0
base,9.0,12.5,200.0,632.5599322515806,280.48770734531035,2900.0,5368.53553595466,0.18559057473550628,4.762118491369435,15.0
base,9.0,12.5,250.0,632.5599322515806,280.48770734531035,3525.0,4743.53553595466,0.14116383831697807,5.8503337280129735,15.0
base,9.0,12.5,300.0,632.5599322515806,280.48770734531035,4150.0,4118.535535954659,0.1083712702455835,6.962656825839227,15.0
base,9.0,12.5,350.0,632.5599322515806,280.48770734531035,4775.0,3493.53553595466,0.08280810571528881,8.102076569533008,15.0
base,9.0,12.5,400.0,632.5599322515806,280.48770734531035,5400.0,2868.5355359546593,0.06209284260473448,9.268820653936473,15.0
base,9.0,20.0,100.0,832.0754342116572,248.70521063079224,2400.0,8476.511371633436,0.3228459444761029,2.9416429315303914,15.0
base,9.0,20.0,150.0,832.0754342116572,248.70521063079224,3400.0,7476.511371633436,0.21498970628210365,4.221794282819274,15.0
base,9.0,20.0,200.0,832.0754342116572,248.70521063079224,4400.0,6476.511371633436,0.1524917806612495,5.535469412095374,15.0
base,9.0,20.0,250.0,832.0754342116572,248.70521063079224,5400.0,5476.511371633436,0.11044492779196496,6.882679888471116,15.0
base,9.0,20.0,300.0,832.0754342116572,248.70521063079224,6400.0,4476.5113716334345,0.07955278911335366,8.270065161314601,15.0
base,9.0,20.0,350.0,832.0754342116572,248.70521063079224,7400.0,3476.511371633435,0.0555141800971213,9.696628608596303,15.0
base,9.0,20.0,400.0,832.0754342116572,248.70521063079224,8400.0,2476.5113716334354,0.036042461015978466,11.164607127487432,15.0
base,12.0,5.0,100.0,336.2289616935568,324.4834045673266,900.0,3495.0319586075325,0.35054584324247107,2.72547626293299,15.0
base,12.0,5.0,150.0,336.2289616935568,324.4834045673266,1150.0,3245.0319586075325,0.2661026163047835,3.509872957033882,15.0
