scenario,pv_kwp,battery_kwh,capex_per_kwh,discount_rate,annual_savings,cycles_per_year,capex,npv,irr,payback_years,lifetime_years
efficient,0.0,30.0,250.0,0.01,430.93551473071807,123.00637848752231,7900.0,-2673.7018257006707,-0.04131242297041246,Inf,15.0
efficient,0.0,30.0,250.0,0.02,430.93551473071807,123.00637848752231,7900.0,-3038.6996545171037,-0.04131242297041246,Inf,15.0
efficient,0.0,30.0,250.0,0.03,430.93551473071807,123.00637848752231,7900.0,-3367.0703580661475,-0.04131242297041246,Inf,15.0
efficient,0.0,30.0,250.0,0.04,430.93551473071807,123.00637848752231,7900.0,-3663.1943225503683,-0.04131242297041246,Inf,15.0
efficient,0.0,30.0,300.0,0.0,430.93551473071807,123.00637848752231,9400.0,-3767.007084099179,-0.06050492903355367,Inf,15.0
efficient,0.0,30.0,300.0,0.01,430.93551473071807,123.00637848752231,9400.0,-4173.701825700672,-0.06050492903355367,Inf,15.0
efficient,0.0,30.0,300.0,0.02,430.93551473071807,123.00637848752231,9400.0,-4538.699654517104,-0.06050492903355367,Inf,15.0
efficient,0.0,30.0,300.0,0.03,430.93551473071807,123.00637848752231,9400.0,-4867.070358066147,-0.06050492903355367,Inf,15.0
efficient,0.0,30.0,300.0,0.04,430.93551473071807,123.00637848752231,9400.0,-5163.1943225503655,-0.06050492903355367,Inf,15.0
efficient,0.0,30.0,350.0,0.0,430.93551473071807,123.00637848752231,10900.0,-5267.007084099181,-0.07594679135529792,Inf,15.0
efficient,0.0,30.0,350.0,0.01,430.93551473071807,123.00637848752231,10900.0,-5673.701825700668,-0.07594679135529792,Inf,15.0
efficient,0.0,30.0,350.0,0.02,430.93551473071807,123.00637848752231,10900.0,-6038.699654517105,-0.07594679135529792,Inf,15.0
efficient,0.0,30.0,350.0,0.03,430.93551473071807,123.00637848752231,10900.0,-6367.0703580661475,-0.07594679135529792,Inf,15.0
efficient,0.0,30.0,350.0,0.04,430.93551473071807,123.00637848752231,10900.0,-6663.194322550367,-0.07594679135529792,Inf,15.0
efficient,0.0,30.0,400.0,0.0,430.93551473071807,123.00637848752231,12400.0,-6767.007084099181,-0.08879527748827903,Inf,15.0
efficient,0.0,30.0,400.0,0.01,430.93551473071807,123.00637848752231,12400.0,-7173.701825700668,-0.08879527748827903,Inf,15.0
efficient,0.0,30.0,400.0,0.02,430.93551473071807,123.00637848752231,12400.0,-7538.699654517107,-0.08879527748827903,Inf,15.0
efficient,0.0,30.0,400.0,0.03,430.93551473071807,123.00637848752231,12400.0,-7867.070358066147,-0.08879527748827903,Inf,15.0
efficient,0.0,30.0,400.0,0.04,430.93551473071807,123.00637848752231,12400.0,-8163.194322550367,-0.08879527748827903,Inf,15.0
efficient,3.0,2.5,100.0,0.0,185.0502694220811,355.90593841828843,650.0,1768.8928995362212,0.2579671709149669,3.6079089683751264,15.0
