# run started 2026-08-16 14:16:15
# name	seconds	imported_kwh	annual_bill_eur	npv_eur
lossy|pv=12.0|bat=02.5            	  810.2	  3732.1	   -48.90	   811.08
low-mileage|pv=12.0|bat=05.0      	  812.7	  1642.4	  -534.88	  2042.32
small-connection|pv=00.0|bat=25.0 	  791.5	  7128.1	  1020.17	 -6191.41
high-mileage|pv=06.0|bat=15.0     	  810.5	  4908.1	   577.50	  1893.94
low-mileage|pv=00.0|bat=20.0      	  820.2	  5687.7	   737.34	 -4432.05
slow-charger|pv=06.0|bat=30.0     	  812.5	  2426.9	  -191.23	 -1424.20
slow-charger|pv=00.0|bat=12.5     	  813.6	  6739.6	  1096.03	 -1998.23
low-mileage|pv=06.0|bat=07.5      	  818.2	  1682.0	   -83.34	  2306.32
high-mileage|pv=03.0|bat=10.0     	  816.3	  6426.1	  1104.09	  1161.48
low-mileage|pv=03.0|bat=05.0      	  822.0	  2587.6	   338.82	  1550.36
base|pv=06.0|bat=25.0             	  809.8	  2296.4	  -161.57	    -0.71
low-mileage|pv=09.0|bat=02.5      	  824.3	  2502.1	  -112.66	  1093.54
lossy|pv=03.0|bat=02.5            	  825.5	  4710.0	   822.90	   620.13
east-west|pv=03.0|bat=30.0        	  826.4	  5071.5	   498.51	 -6125.23
base|pv=03.0|bat=15.0             	  825.3	  3658.1	   446.27	   -85.24
slow-charger|pv=03.0|bat=20.0     	  824.6	  3860.6	   419.00	 -1543.79
lossy|pv=00.0|bat=07.5            	  829.4	  6912.5	  1232.70	 -1374.06
efficient|pv=03.0|bat=12.5        	  826.4	  3429.2	   419.64	  1022.63
high-mileage|pv=00.0|bat=02.5     	  834.2	  9244.7	  1846.38	  -181.09
high-mileage|pv=12.0|bat=20.0     	  789.3	  3215.8	  -259.91	  3376.48
high-mileage|pv=09.0|bat=12.5     	  789.0	  4409.4	   296.52	  2798.59
lossy|pv=12.0|bat=12.5            	  785.3	  1982.6	  -467.86	  2287.48
efficient|pv=09.0|bat=15.0        	  787.9	  1660.0	  -405.98	  3303.08
low-mileage|pv=12.0|bat=10.0      	  786.4	   998.7	  -744.23	  2778.86
efficient|pv=12.0|bat=25.0        	  794.6	  1298.2	  -981.34	  3202.62
base|pv=12.0|bat=30.0             	  793.0	  1417.4	 -1018.50	  1904.07
base|pv=09.0|bat=20.0             	  790.5	  1655.2	  -479.20	  2476.51
slow-charger|pv=09.0|bat=25.0     	  792.4	  1635.0	  -568.89	  1945.23
lossy|pv=09.0|bat=07.5            	  797.8	  2865.3	   -10.53	  1947.49
efficient|pv=06.0|bat=05.0        	  797.1	  3216.4	   272.62	  2090.95
efficient|pv=06.0|bat=10.0        	  799.9	  2493.4	    71.97	  2713.72
efficient|pv=12.0|bat=02.5        	  798.8	  3400.0	  -138.44	  1184.68
high-mileage|pv=12.0|bat=05.0     	  801.8	  5267.8	   308.16	  1950.95
slow-charger|pv=06.0|bat=15.0     	  798.0	  2195.6	    -8.20	  2183.39
small-connection|pv=06.0|bat=30.0 	  793.8	  2232.9	  -163.49	 -1935.84
low-mileage|pv=00.0|bat=10.0      	  811.3	  5255.9	   809.46	 -1374.75
high-mileage|pv=00.0|bat=20.0     	  803.0	  9827.8	  1611.17	 -4106.52
small-connection|pv=00.0|bat=12.5 	  804.5	  6734.8	  1092.86	 -2141.58
lossy|pv=00.0|bat=25.0            	  814.6	  7497.2	  1116.48	 -6854.86
slow-charger|pv=03.0|bat=10.0     	  805.7	  3593.6	   518.57	  1154.65
high-mileage|pv=03.0|bat=05.0     	  804.8	  6806.9	  1236.63	  1428.97
high-mileage|pv=06.0|bat=07.5     	  809.3	  5583.3	   792.89	  2078.53
east-west|pv=06.0|bat=25.0        	  805.2	  3142.5	    93.96	 -2198.34
high-mileage|pv=09.0|bat=02.5     	  804.2	  6180.3	   734.99	  1067.22
small-connection|pv=03.0|bat=20.0 	  804.2	  3834.8	   421.22	 -1724.59
efficient|pv=03.0|bat=02.5        	  810.1	  4320.0	   725.93	  1018.89
low-mileage|pv=03.0|bat=30.0      	  812.6	  3113.0	    85.27	 -5135.42
base|pv=06.0|bat=12.5             	  804.4	  2408.8	    43.88	  2313.78
east-west|pv=03.0|bat=15.0        	  821.4	  4351.8	   584.64	 -1251.06
efficient|pv=00.0|bat=07.5        	  817.8	  6418.7	  1092.83	  -427.36
slow-charger|pv=00.0|bat=02.5     	  828.0	  6418.6	  1263.02	  -181.09
slow-charger|pv=12.0|bat=20.0     	  781.7	  1322.2	  -786.34	  3255.42
base|pv=12.0|bat=15.0             	  777.6	  1528.4	  -651.02	  3100.61
efficient|pv=12.0|bat=12.5        	  780.9	  1577.2	  -617.07	  3441.03
slow-charger|pv=09.0|bat=12.5     	  784.3	  1906.6	  -271.16	  3053.33
high-mileage|pv=12.0|bat=10.0     	  784.4	  4383.1	    86.36	  2850.25
small-connection|pv=09.0|bat=25.0 	  781.6	  1560.4	  -557.38	  1513.45
east-west|pv=12.0|bat=30.0        	  796.3	  1962.8	  -672.46	  -331.28
east-west|pv=09.0|bat=20.0        	  795.2	  2223.8	  -221.12	   803.78
base|pv=00.0|bat=30.0             	  805.6	  7501.8	   959.62	 -7443.31
east-west|pv=00.0|bat=30.0        	    1.2	  7501.8	   959.62	 -7443.31
efficient|pv=09.0|bat=07.5        	  789.0	  2446.5	  -133.77	  2744.90
base|pv=09.0|bat=10.0             	  786.7	  2233.2	  -193.01	  2735.51
base|pv=09.0|bat=05.0             	  789.5	  3041.7	    18.72	  1967.86
slow-charger|pv=12.0|bat=05.0     	  793.7	  2818.3	  -245.22	  2182.16
small-connection|pv=06.0|bat=15.0 	  796.2	  2206.5	   -11.30	  2074.85
lossy|pv=06.0|bat=30.0            	  799.3	  2606.0	   -46.06	 -2910.64
base|pv=00.0|bat=05.0             	  808.1	  6495.0	  1183.60	  -371.08
east-west|pv=00.0|bat=05.0        	    1.2	  6495.0	  1183.60	  -371.08
high-mileage|pv=00.0|bat=10.0     	  799.4	  9479.5	  1706.52	 -1352.88
slow-charger|pv=00.0|bat=20.0     	  797.5	  7028.4	  1024.95	 -4069.09
lossy|pv=00.0|bat=12.5            	  802.1	  7094.8	  1189.56	 -2810.17
efficient|pv=00.0|bat=25.0        	  802.9	  7164.9	   919.88	 -5166.66
low-mileage|pv=06.0|bat=25.0      	  798.9	  1497.2	  -423.84	  -242.84
small-connection|pv=03.0|bat=10.0 	  801.9	  3593.6	   510.81	  1104.31
slow-charger|pv=06.0|bat=07.5     	  802.0	  2894.4	   212.11	  2303.55
slow-charger|pv=03.0|bat=05.0     	  804.5	  3975.6	   651.12	  1421.92
slow-charger|pv=09.0|bat=02.5     	  799.6	  3693.7	   178.21	  1179.43
base|pv=06.0|bat=02.5             	  800.2	  3958.1	   447.04	  1043.83
lossy|pv=03.0|bat=20.0            	  806.9	  4185.3	   532.41	 -2582.72
east-west|pv=06.0|bat=12.5        	  802.4	  2861.7	   218.43	  1174.76
high-mileage|pv=03.0|bat=30.0     	  806.0	  7018.5	   913.35	 -4345.29
base|pv=03.0|bat=07.5             	  802.8	  3734.0	   557.33	  1462.93
low-mileage|pv=03.0|bat=15.0      	  809.9	  2353.0	   163.98	  -164.30
small-connection|pv=00.0|bat=02.5 	  823.6	  6418.0	  1249.70	  -191.67
small-connection|pv=12.0|bat=20.0 	  788.2	  1323.4	  -786.58	  2891.14
slow-charger|pv=12.0|bat=10.0     	  790.9	  1925.0	  -471.46	  3139.43
east-west|pv=12.0|bat=15.0        	  799.3	  1845.6	  -401.60	  2128.18
small-connection|pv=09.0|bat=12.5 	  801.0	  1927.1	  -277.25	  2851.70
base|pv=00.0|bat=15.0             	  809.6	  6851.0	  1057.80	 -2726.72
east-west|pv=00.0|bat=15.0        	    1.4	  6851.0	  1057.80	 -2726.72
low-mileage|pv=09.0|bat=20.0      	  796.0	  1040.6	  -723.85	  2082.76
lossy|pv=09.0|bat=25.0            	  801.8	  1884.2	  -432.41	   462.24
low-mileage|pv=12.0|bat=30.0      	  802.1	   918.6	 -1253.24	  1432.48
base|pv=12.0|bat=07.5             	  797.0	  2325.9	  -378.67	  2540.48
east-west|pv=09.0|bat=05.0        	  799.1	  2980.5	   164.98	  1756.94
east-west|pv=09.0|bat=10.0        	  803.6	  2410.7	   -11.53	  2064.20
low-mileage|pv=00.0|bat=30.0      	  814.7	  6159.8	   685.09	 -7749.00
small-connection|pv=00.0|bat=20.0 	  782.6	  6999.0	  1035.24	 -4388.40
lossy|pv=06.0|bat=15.0            	  805.0	  2571.5	    98.57	  1198.82
small-connection|pv=12.0|bat=05.0 	  809.7	  2804.8	  -258.47	  1987.92
efficient|pv=06.0|bat=30.0        	  807.1	  2402.9	  -272.66	  -781.44
slow-charger|pv=00.0|bat=10.0     	  809.6	  6652.9	  1122.80	 -1348.21
efficient|pv=00.0|bat=12.5        	  804.0	  6597.9	  1028.06	 -1580.79
