name,forecast,window_hours,pv_kwp,battery_kwh,annual_bill,imported_kwh,exported_kwh,curtailed_kwh,battery_discharge_kwh,cycles_per_year,self_consumption,self_sufficiency,annual_savings,npv
good|w=48.0|pv=12.0|bat=15.0,good,48.0,12.0,15.0,-732.5985345823865,1300.4226810080222,8627.60864468255,255.42707312863317,4193.184587133672,279.5456391422448,0.4955403159061557,0.9032277104373417,715.2333256887961,2949.204507636701
good|w=48.0|pv=12.0|bat=20.0,good,48.0,12.0,20.0,-872.0528178547887,1184.3026019064987,8434.132913142432,219.29137850926827,5265.630132977841,263.28150664889205,0.5754754767300464,0.9070453477954202,854.6876089611983,2772.0874284290076
load-only|w=06.0|pv=00.0|bat=00.0,load-only,6.0,0.0,0.0,1378.9992010151407,6339.13043478261,0.0,0.0,0.0,NaN,NaN,0.0,0.0,NaN
load-only|w=06.0|pv=00.0|bat=05.0,load-only,6.0,0.0,5.0,1250.7149657242092,6479.814903656873,30.751202162680503,0.0,1039.5104944328532,207.90209888657063,NaN,0.28821694064862075,128.28423529093152,-723.1268625721816
load-only|w=06.0|pv=00.0|bat=10.0,load-only,6.0,0.0,10.0,1226.2523497763434,6632.524819711734,164.9406225749934,0.0,1232.8668771754126,123.28668771754126,NaN,0.30512178702869114,152.74685123879726,-2403.3626806276125
load-only|w=06.0|pv=00.0|bat=15.0,load-only,6.0,0.0,15.0,1205.9817400222396,6812.922813754173,328.48277067405,0.0,1410.814579369294,94.05430529128627,NaN,0.30923765962721256,173.01746099290108,-4138.394495730603
load-only|w=06.0|pv=00.0|bat=20.0,load-only,6.0,0.0,20.0,1186.8390807512408,7006.862983452429,505.5200199008622,0.0,1589.1980227075255,79.45990113537627,NaN,0.3096222865161895,192.1601202638999,-5888.1703661820775
load-only|w=06.0|pv=06.0|bat=00.0,load-only,6.0,6.0,0.0,704.619686612385,5020.983070042335,5626.294492064771,239.37890793273266,0.0,NaN,0.18981329125084206,0.3152856896267605,0.0,NaN
load-only|w=06.0|pv=06.0|bat=05.0,load-only,6.0,6.0,5.0,393.34914891628955,3813.157481948778,4346.312201546421,151.79206668242952,1500.5748529925372,300.11497059850745,0.4010045784473536,0.7054871145756517,311.2705376960954,1668.7867994968917
load-only|w=06.0|pv=06.0|bat=10.0,load-only,6.0,6.0,10.0,268.02750623639554,3776.749018241422,4251.7111795306055,109.98607286807824,2448.1255534113925,244.81255534113924,0.537108950716243,0.7344970500413525,436.5921803759894,1306.9342746847287
